encoding_id	iconv_name	bytes	convert_mode	decode_check
utf-8	UTF-8	43	strict	ok
utf-16le	UTF-16LE	76	strict	ok
utf-16be	UTF-16BE	76	strict	ok
utf-32le	UTF-32LE	152	strict	ok
utf-32be	UTF-32BE	152	strict	ok
iso-8859-1	ISO-8859-1	39	translit	ok
iso-8859-2	ISO-8859-2	35	strict	ok
iso-8859-3	ISO-8859-3	39	translit	ok
iso-8859-4	ISO-8859-4	39	translit	ok
iso-8859-5	ISO-8859-5	28	strict	ok
iso-8859-6	ISO-8859-6	31	strict	ok
iso-8859-7	ISO-8859-7	32	strict	ok
iso-8859-8	ISO-8859-8	27	strict	ok
iso-8859-9	ISO-8859-9	37	strict	ok
iso-8859-10	ISO-8859-10	39	translit	ok
iso-8859-11	ISO-8859-11	30	strict	ok
iso-8859-13	ISO-8859-13	37	strict	ok
iso-8859-14	ISO-8859-14	39	translit	ok
iso-8859-15	ISO-8859-15	37	strict	ok
iso-8859-16	ISO-8859-16	37	strict	ok
windows-1250	WINDOWS-1250	35	strict	ok
windows-1251	WINDOWS-1251	28	strict	ok
windows-1252	WINDOWS-1252	37	strict	ok
windows-1253	WINDOWS-1253	32	strict	ok
windows-1254	WINDOWS-1254	37	strict	ok
windows-1255	WINDOWS-1255	27	strict	ok
windows-1256	WINDOWS-1256	31	strict	ok
windows-1257	WINDOWS-1257	37	strict	ok
windows-1258	WINDOWS-1258	36	strict	ok
koi8-r	KOI8-R	28	strict	ok
koi8-u	KOI8-U	28	strict	ok
cp850	CP850	39	translit	ok
cp852	CP852	35	strict	ok
cp855	CP855	28	strict	ok
cp857	CP857	37	strict	ok
cp862	CP862	27	strict	ok
cp864	CP864	31	translit	ok
cp866	CP866	28	strict	ok
shift_jis	SHIFT_JIS	32	strict	ok
euc-jp	EUC-JP	32	strict	ok
iso-2022-jp	ISO-2022-JP	38	strict	ok
gb18030	GB18030	31	strict	ok
gbk	GBK	31	strict	ok
big5	BIG5	31	strict	ok
big5-hkscs	BIG5-HKSCS	31	strict	ok
euc-kr	EUC-KR	33	strict	ok
cp949	CP949	33	strict	ok
iso-2022-kr	ISO-2022-KR	41	strict	ok
tis-620	TIS-620	30	strict	ok
